LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2017,Mahindra,TUV300 T8,Manual,"19,065 km",Diesel,1st Owner,"₹6,95,099"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"50,742 km",Diesel,1st Owner,"₹7,16,999"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"1,99,598 km",Diesel,1st Owner,"₹7,25,899"
New Delhi,2016,Hyundai,Creta 1.6 SX (O) CRDI,,"53,957 km",Diesel,1st Owner,"₹8,94,399"
New Delhi,2015,Maruti,S Cross ALPHA 1.3,Manual,"94,544 km",Diesel,1st Owner,"₹5,32,899"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,21,060 km",Diesel,2nd Owner,"₹5,52,299"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"24,768 km",Diesel,1st Owner,"₹8,77,099"
New Delhi,2014,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"69,958 km",Diesel,1st Owner,"₹10,97,599"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,78,399"
New Delhi,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"26,693 km",Petrol,2nd Owner,"₹7,26,099"
New Delhi,2016,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"34,212 km",Petrol,1st Owner,"₹7,19,999"
New Delhi,2017,Ford,Ecosport 1.0 ECOBOOST TITANIUM OPT,Manual,"37,026 km",Petrol,1st Owner,"₹7,30,899"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"35,747 km",Diesel,1st Owner,"₹8,34,799"
New Delhi,2016,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"88,979 km",Diesel,1st Owner,"₹6,21,999"
New Delhi,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"68,356 km",Diesel,1st Owner,"₹6,76,099"
New Delhi,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"24,772 km",Diesel,2nd Owner,"₹8,75,599"
New Delhi,2015,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"76,170 km",Petrol,1st Owner,"₹6,11,499"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"83,300 km",Diesel,2nd Owner,"₹7,16,799"
New Delhi,2018,Hyundai,Creta 1.6 SX AT CRDI,Manual,"29,854 km",Diesel,3rd Owner,"₹12,35,999"
New Delhi,2020,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"30,097 km",Diesel,1st Owner,"₹10,21,799"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"1,99,598 km",Diesel,1st Owner,"₹7,25,899"
New Delhi,2016,Hyundai,Creta 1.6 SX (O) CRDI,,"53,957 km",Diesel,1st Owner,"₹8,94,399"
New Delhi,2015,Maruti,S Cross ALPHA 1.3,Manual,"94,544 km",Diesel,1st Owner,"₹5,32,899"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,21,060 km",Diesel,2nd Owner,"₹5,52,299"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"24,768 km",Diesel,1st Owner,"₹8,77,099"
New Delhi,2014,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"69,958 km",Diesel,1st Owner,"₹10,97,599"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,78,399"
New Delhi,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"26,693 km",Petrol,2nd Owner,"₹7,26,099"
New Delhi,2016,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"34,212 km",Petrol,1st Owner,"₹7,19,999"
New Delhi,2017,Ford,Ecosport 1.0 ECOBOOST TITANIUM OPT,Manual,"37,026 km",Petrol,1st Owner,"₹7,30,899"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"35,747 km",Diesel,1st Owner,"₹8,34,799"
New Delhi,2016,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"88,979 km",Diesel,1st Owner,"₹6,21,999"
New Delhi,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"68,356 km",Diesel,1st Owner,"₹6,76,099"
